ID,DEP_NOM,DEP_NUM,FRANCE,FACADE,TYPE,TRANSITION,COMMUNE,POINT,LONG,LAT,QEB_2013,QEB_2014,QEB_2015,QEB_2016,QEB_2017,QEB_2018,QEB_2019,QEB_2020
"1",AIN,"01",Métropole,Métropole,douce,,ANGLEFORT,PLAN D'EAU D'ANGLEFORT,,,,,,,,,5N,5N
"2",AIN,"01",Métropole,Métropole,douce,,BOURG-EN-BRESSE,BOURG EN BRESSE - PLAN D'EAU DU PARC DE LOISIRS DE BOUVENT,5.261290000000000,46.189200000000000,6E,6E,6E,6P,6E,6E,6E,5E
"3",AIN,"01",Métropole,Métropole,douce,,BREGNIER-CORDON,BREGNIER-CORDON - PLAN D'EAU COMMUNAL DE GLANDIEU,5.609480000000000,45.656599999999997,5B,5E,5E,5E,5E,,4E,1N
"4",AIN,"01",Métropole,Métropole,douce,,CHARIX,CHARIX - LAC GENIN,5.696130000000000,46.220199999999998,5E,5E,5E,5E,5E,5E,5E,5E
"5",AIN,"01",Métropole,Métropole,douce,,CHAZEY-SUR-AIN,CHAZEY-SUR-AIN - PLAN D'EAU COMMUNAL EN AVAL DU PONT DE CHAZEY,5.238850000000000,45.902400000000000,5E,5E,5E,5E,5E,5E,5E,5E
"6",AIN,"01",Métropole,Métropole,douce,,CHAZEY-SUR-AIN,CHAZEY-SUR-AIN - RIVE GAUCHE DE L'AIN EN AMONT DU PONT SUR L'AIN,5.233970000000000,45.907899999999998,5E,5E,5E,5E,5E,5E,5E,5E
"7",AIN,"01",Métropole,Métropole,douce,,CORMORANCHE-SUR-SAONE,"CORMORANCHE/SAONE PLAN D'EAU DE LA BASE DE LOISIRS ""LA PIERRE THORION""",4.825200000000000,46.253000000000000,7E,7E,7E,7E,7E,7E,7E,6E
"8",AIN,"01",Métropole,Métropole,douce,,CULOZ,CULOZ - PLAN D'EAU DU CAMPING COMMUNAL,5.792740000000000,45.852100000000000,5E,6E,5E,5E,,,,
"9",AIN,"01",Métropole,Métropole,douce,,DIVONNE-LES-BAINS,DIVONNE-LES-BAINS - LAC DE DIVONNE,6.149460000000000,46.353999999999999,6E,7E,7E,7E,6E,6E,7E,5E
"10",AIN,"01",Métropole,Métropole,douce,,HAUTECOURT-ROMANECHE,HAUTECOURT-ROMANECHE - PLAGE DE L'ILE CHAMBOD RIVIERE D'AIN,5.432370000000000,46.129399999999997,5E,5E,5E,5E,5E,5E,5E,5E
"11",AIN,"01",Métropole,Métropole,douce,,MALAFRETAZ,"MALAFRETAZ - PLAN D'EAU DE LA BASE DE PLEIN AIR ""LA PLAINE TONIQUE""",5.139000000000000,46.340899999999998,6E,6E,6E,7E,7E,7E,7E,7E
"12",AIN,"01",Métropole,Métropole,douce,,MASSIGNIEU-DE-RIVES,"MASSIGNIEU DE RIVES - PLAGE DU ""LIT AU ROI"" CANAL DU RHONE",5.769040000000000,45.768700000000003,6B,5E,5E,5E,5E,5E,5E,5E
"13",AIN,"01",Métropole,Métropole,douce,,MURS-ET-GELIGNIEUX,MURS ET GELIGNIEUX - PLAN D'EAU DU CUCHET CANAL DU RHONE,5.642100000000000,45.637000000000000,5S,5B,5B,5S,,,,
"14",AIN,"01",Métropole,Métropole,douce,,NANTUA,LAC DE NANTUA - PLAGE DE LA COLONNE,,,,,,,,,5N,5N
"15",AIN,"01",Métropole,Métropole,douce,,NANTUA,NANTUA - PLAGE DU STADE NAUTIQUE LAC DE NANTUA,5.597440000000000,46.161499999999997,5E,5E,5E,5E,5E,5E,5E,5E
"16",AIN,"01",Métropole,Métropole,douce,,POIZAT-LALLEYRIAT (LE),PLAN D'EAU DE LE POIZAT - LALLEYRIAT,,,,,,,,,7N,5N
"17",AIN,"01",Métropole,Métropole,douce,,POLLIEU,POLLIEU - PLAGE DU LAC DE BARTERAND,5.746370000000000,45.786799999999999,5E,5E,5E,5E,5E,5E,5E,5E
"18",AIN,"01",Métropole,Métropole,douce,,PONT-D'AIN,PONT D'AIN - RIVE GAUCHE DE L'AIN EN AMONT DU PONT SUR L'AIN,5.338480000000000,46.047800000000002,5E,5E,5E,5E,5E,5E,5E,5E
"19",AIN,"01",Métropole,Métropole,douce,,PONT-DE-VAUX,PONT-DE-VAUX - RIVE GAUCHE DE LA SAONE EN AVAL DU PONT DE FLEURVILLE,4.896950000000000,46.447299999999998,5E,5E,5E,5E,5E,5N,5E,5E
"20",AIN,"01",Métropole,Métropole,douce,,PRIAY,PRIAY - RIVE GAUCHE DE L'AIN EN AMONT DU PONT,5.296510000000000,46.004800000000003,5E,5E,5E,5E,5E,5E,5E,1N
"21",AIN,"01",Métropole,Métropole,douce,,SAINT-MAURICE-DE-GOURDANS,ST-MAURICE-DE-GOURDANS - RIVE DROITE DE L'AIN CAMPING,5.187330000000000,45.807600000000001,5E,5E,5E,5E,5E,5E,5B,5E
"22",AIN,"01",Métropole,Métropole,douce,,SERRIERES-DE-BRIORD,SERRIERES DE BRIORD - PLAGE DU POINT VERT RIVE DROITE DU RHONE,5.426540000000000,45.817300000000003,5S,4B,4B,4B,4B,5B,5B,5E
"23",AIN,"01",Métropole,Métropole,douce,,SEYSSEL,"SEYSSEL - PLAN D'EAU ""LES GOUILLES""",5.833150000000000,45.949300000000001,5E,5E,5E,5E,5E,5E,5E,5E
"24",AIN,"01",Métropole,Métropole,douce,,VAL-REVERMONT,VAL-REVERMONT - PLAN D'EAU DE LA GRANGE DU PIN,5.356210000000000,46.304200000000002,5E,5E,5E,6E,5E,5E,5B,5E
"25",AIN,"01",Métropole,Métropole,douce,,VIRIEU-LE-GRAND,VIRIEU LE GRAND - LAC DE VIRIEU,5.641630000000000,45.829099999999997,5E,5E,5E,5E,5E,5E,5E,5E
"26",AISNE,"02",Métropole,Métropole,douce,,BERNY-RIVIERE,BAIGNADE DU CAMPING,3.136780000000000,49.404299999999999,9E,9E,10E,9E,,,,
