objectid;code_epci;nom_epci;code_dep;nom_dep;code_region;nom_region;st_area(shape);st_perimeter(shape);geo_point_2d
25;200017341;CC Lodévois et Larzac;34;HERAULT;76;OCCITANIE;554841824.0549872;125726.64842881361;43.7929180957,3.37305747018
29;200034692;CA Gard Rhodanien;30;GARD;76;OCCITANIE;632262734.2850112;138820.51662269383;44.1745337933,4.57226840664
39;200066918;CA Alès Agglomération;30;GARD;76;OCCITANIE;956033995.6150014;239547.70681875545;44.1469193094,4.07060920798
43;200068641;CA Le Muretain Agglo;31;HAUTE-GARONNE;76;OCCITANIE;321863629.5750005;160660.64964017196;43.4794412523,1.26058648705
42;200067940;CC Couserans-Pyrénées;09;ARIEGE;76;OCCITANIE;1646792947.6950028;219256.7113489019;42.9178728416,1.17961253606
46;200071926;CC du Limouxin;11;AUDE;76;OCCITANIE;826285318.7249948;187073.33175720487;43.0192159246,2.25536512715
28;200034379;CC Pays d'Uzès;30;GARD;76;OCCITANIE;449525164.9549862;124459.03715973742;44.057428208,4.39368300381
27;200027183;CU Perpignan Méditerranée Cté Urbaine;66;PYRENEES-ORIENTALES;76;OCCITANIE;646668799.300016;203588.7535323603;42.7518946495,2.85179058028
38;200066355;CA Sète Agglopôle Méditerranée (SAM);34;HERAULT;76;OCCITANIE;374820171.00999796;106059.55734627097;43.4483868717,3.65382940318
32;200035863;CC Région Lézignanaise, Corbières et Minervois;11;AUDE;76;OCCITANIE;821811057.3349882;179521.71787777354;43.0743874316,2.66661916614
37;200066322;CC Terres de Confluences;82;TARN-ET-GARONNE;76;OCCITANIE;449898982.2049921;137765.08678921175;44.0674136233,1.09561400189
40;200066926;CA Grand Auch Coeur de Gascogne;32;GERS;76;OCCITANIE;606703599.0500054;167659.01137218185;43.6935948818,0.574772301078
41;200067791;CA Pays Foix-Varilhes;09;ARIEGE;76;OCCITANIE;448201093.01497656;131212.37718523826;42.986400138,1.6012496097
57;243400819;CA Hérault Méditerranée;34;HERAULT;76;OCCITANIE;387748344.4900071;119394.09995887153;43.4064744097,3.44212749271
45;200069383;CC du Grand Villefranchois;12;AVEYRON;76;OCCITANIE;670784695.7799929;199596.15575168302;44.3512496555,1.99784002834
48;241100593;CA le Grand Narbonne;11;AUDE;76;OCCITANIE;934103499.0750177;195571.485686266;43.1371659412,2.99001803475
53;243100518;Toulouse Métropole;31;HAUTE-GARONNE;76;OCCITANIE;460166281.69501996;136759.45029696653;43.6273614319,1.41310520955
58;248100430;CA Castres-Mazamet;81;TARN;76;OCCITANIE;408081657.5299901;122867.4224396298;43.5350813281,2.32605050713
49;241200187;CA Rodez agglomération;12;AVEYRON;76;OCCITANIE;207796887.22998992;119019.41222979742;44.3621808527,2.55285558038
30;200035129;CC de Cèze Cévennes;30;GARD;76;OCCITANIE;321643960.3450031;110585.97648876945;44.2631784981,4.25263191595
34;200043602;CC Albères et Côte Vermeille;66;PYRENEES-ORIENTALES;76;OCCITANIE;294597930.06999844;108673.45237237931;42.5232915113,2.99981602129
51;243000593;CC Petite Camargue;30;GARD;76;OCCITANIE;204628302.97499096;77844.75797777073;43.651900173,4.28608424903
44;200069300;CA Tarbes-Lourdes-Pyrénées;65;HAUTES-PYRENEES;76;OCCITANIE;618400145.125023;197313.6645940687;43.1545441426,-0.00380252272386
47;200072643;CC Coeur et Côteaux du Comminges;31;HAUTE-GARONNE;76;OCCITANIE;993440285.6599998;210832.1879869651;43.2291028922,0.740918504469
60;248200099;CA Grand Montauban;82;TARN-ET-GARONNE;76;OCCITANIE;265155824.33502313;97622.13793972207;44.0070566734,1.35577141131
61;200040905;CC Carmausin-Ségala;81;TARN;76;OCCITANIE;484190652.0000142;134826.08413369663;44.0755076182,2.15871863936
59;248100737;CA de l'Albigeois;81;TARN;76;OCCITANIE;211443700.56999406;85981.11348878455;43.9120765349,2.15471676552
33;200042646;CC Grand Orb-Cté communes en Languedoc;34;HERAULT;76;OCCITANIE;459271702.83500856;124964.56009882632;43.6825926524,3.13907445499
54;243400017;Montpellier Méditerranée Métropole;34;HERAULT;76;OCCITANIE;439860451.46498877;172950.3766445226;43.6156675448,3.86309318946
55;243400520;CC Pays de Lunel;34;HERAULT;76;OCCITANIE;158912300.12500116;79575.62829308673;43.6927259729,4.10381830477
26;200023737;CA du Grand Cahors;46;LOT;76;OCCITANIE;593894024.9800042;191128.487853545;44.4847129041,1.44804690552
31;200035715;CA Carcassonne Agglo;11;AUDE;76;OCCITANIE;1078697065.1350164;218676.133851491;43.228108663,2.42863945674
35;200066124;CA Gaillac-Graulhet;81;TARN;76;OCCITANIE;1187434496.8099854;194339.29336224796;43.8914358104,1.82956255007
36;200066231;CC des Portes d'Ariège Pyrénées;09;ARIEGE;76;OCCITANIE;418278474.71001136;134594.6996378332;43.1693085454,1.60850698591
56;243400769;CA Béziers Méditerranée;34;HERAULT;76;OCCITANIE;305610703.9050076;109132.34677753638;43.3642365241,3.27477077752
50;243000585;CC Beaucaire-Terre d'Argence;30;GARD;76;OCCITANIE;205240478.8799844;79586.2705693201;43.7712351644,4.56305742924
52;243000643;CA Nîmes Métropole;30;GARD;76;OCCITANIE;793214502.980001;212011.40375299152;43.8228869191,4.35365495621
