Passage : Commentaire;Lieu de surveillance : Identifiant;Lieu de surveillance : Mnémonique;Lieu de surveillance : Libellé;Passage : Date;Coordonnées passage : Coordonnées minx;Coordonnées passage : Coordonnées maxx;Coordonnées passage : Coordonnées miny;Coordonnées passage : Coordonnées maxy;Coordonnées passage : Coordonnées redéfinies;Prélèvement : Commentaire;Libellé de l'engin de prélévement;Prélèvement : Niveau;Prélèvement : Immersion;Prélèvement : Immersion Min;Prélèvement : Immersion Max;Prélèvement : Symbole de l'unité d'immersion;Prélèvement : Unité d'immersion;Echantillon : Commentaire;Echantillon : Identifiant interne;Echantillon : Libellé du support;Echantillon : Libellé du taxon support;Résultat : Code paramètre;Résultat : Libellé paramètre;Résultat : Libellé support;Résultat : Libellé fraction;Résultat : Libellé méthode;Résultat : Libellé précision;Résultat : Valeur de la mesure;Résultat : Valeur qualitative;Résultat : Symbole unité de mesure associé au quadruplet;Résultat : Libellé unité de mesure associé au quadruplet;Résultat : Commentaires;Résultat : Service analyste : Libellé;Passage : Date de validation;Passage : Date de qualification;Passage : Niveau de qualité;Passage : Commentaire de qualification;Prélèvement : Date de validation;Prélèvement : Date de qualification;Prélèvement : Niveau de qualité;Prélèvement : Commentaire de qualification;Echantillon : Date de validation;Echantillon : Date de qualification;Echantillon : Niveau de qualité;Echantillon : Commentaire de qualification;Résultat : Date de validation;Résultat : Date de qualification;Résultat : Niveau de qualité;Résultat : Commentaire de qualification;Prélèvement : Service préleveur : Code;Prélèvement : Service préleveur : Libellé
;1001104;001-P-022;Oye plage;15/04/2008;1.99866073;1.99866073;51.00247775;51.00247775;0;;Main ;Emergé;0;;;m;Mètre;;5380212;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;;1.1;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;;;Non qualifié;;;;Non qualifié;;;;Non qualifié;;;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
;1001104;001-P-022;Oye plage;22/04/2008;1.99866073;1.99866073;51.00247775;51.00247775;0;;Main ;Emergé;0;;;m;Mètre;;60034460;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;;13.7;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;;;Non qualifié;;;;Non qualifié;;;;Non qualifié;;;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
;1001104;001-P-022;Oye plage;14/04/2009;1.99866073;1.99866073;51.00247775;51.00247775;0;;Main ;Emergé;0;;;m;Mètre;;60034463;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.5;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;15/03/2010;;Non qualifié;;05/01/2016;;Non qualifié;;15/03/2010;;Non qualifié;;15/03/2010;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
;1001104;001-P-022;Oye plage;22/04/2009;1.99866073;1.99866073;51.00247775;51.00247775;0;;Main ;Emergé;0;;;m;Mètre;;60034464;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;;2.6;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;15/03/2010;;Non qualifié;;05/01/2016;;Non qualifié;;15/03/2010;;Non qualifié;;15/03/2010;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
;1001104;001-P-022;Oye plage;22/03/2010;1.99866073;1.99866073;51.00247775;51.00247775;0;;Main ;Emergé;0;;;m;Mètre;;60160368;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire environnement ressources Finistère-Bretagne Nord;16/02/2012;;Non qualifié;;05/01/2016;;Non qualifié;;16/02/2012;;Non qualifié;;16/02/2012;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
;1001104;001-P-022;Oye plage;31/03/2010;1.99866073;1.99866073;51.00247775;51.00247775;0;;Main ;Emergé;0;;;m;Mètre;;60160369;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;;2.6;;mg.kg-1;Milligramme par kilogramme;;Laboratoire environnement ressources Finistère-Bretagne Nord;16/02/2012;;Non qualifié;;16/02/2012;;Non qualifié;;16/02/2012;;Non qualifié;;16/02/2012;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
;1001104;001-P-022;Oye plage;01/06/2010;1.99866073;1.99866073;51.00247775;51.00247775;0;;Main ;Emergé;0;;;m;Mètre;;60160441;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire environnement ressources Finistère-Bretagne Nord;16/02/2012;;Non qualifié;;05/01/2016;;Non qualifié;;16/02/2012;;Non qualifié;;16/02/2012;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
;1001104;001-P-022;Oye plage;17/06/2010;1.99866073;1.99866073;51.00247775;51.00247775;0;;Main ;Emergé;0;;;m;Mètre;;60160440;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;16/02/2012;;Non qualifié;;05/01/2016;;Non qualifié;;16/02/2012;;Non qualifié;;14/03/2017;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
;1001104;001-P-022;Oye plage;29/06/2010;1.99866073;1.99866073;51.00247775;51.00247775;0;;Main ;Emergé;0;;;m;Mètre;;60160442;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire environnement ressources Finistère-Bretagne Nord;16/02/2012;;Non qualifié;;05/01/2016;;Non qualifié;;16/02/2012;;Non qualifié;;16/02/2012;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
;1001104;001-P-022;Oye plage;11/05/2011;1.99866073;1.99866073;51.00247775;51.00247775;0;;Main ;Emergé;0;;;m;Mètre;;60280878;Bivalve;Mytilus edulis;ASP;Toxines ASP;Bivalve;Chair totale égouttée;CL/UV toxines amnésiantes - mg/kg;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;Laboratoire Environnement Ressources de Bretagne Occidentale;16/07/2012;;Non qualifié;;05/01/2016;;Non qualifié;;;;Non qualifié;;;;Non qualifié;;PDG-ODE-LITTORAL-LERBL;Laboratoire Environnement Ressources de Boulogne-sur-Mer
